# Source: http://celex.mpi.nl/ with unknown license

#-----------------------------------------------------------------------
# test that we can override the stemming algorithm with our own mappings
# these must be tab-separated
# monkeys	monkey
# otters	otter
# some crazy ones that a stemmer would never do
# dogs	cat
a-al-tolletjes	a-al-tol
parlementsfracties	parlementsfractie
parlementsleden	parlementslid
parlementsverkiezing	parlementsverkiezing
parlementsverkiezingen	parlementsverkiezing
parlementszitting	parlementszitting
parlementszittingen	parlementszitting
parlevinkt	parlevink
parlevinkte	parlevink
parlevinkten	parlevink
parmanter	parmant
parmantere	parmant
parmantig	parmantig
parmantige	parmantig
parmantiger	parmantig
parmantigere	parmantig
parmantigheid	parmantigheid
parmantigst	parmantig
parmantigste	parmantig
parmantst	parmant
parmantste	parmant
parmezaan	parmezaan
parmezaans	parmezaans
parmezaanse	parmezaans
parmezaantje	parmezaan
parmezaantjes	parmezaan
parmezanen	parmezaan
Parnastaal	Parnastaal
parochiaantje	parochiaan
parochiaantjes	parochiaan
parochiale	parochiaal
parochianen	parochiaan
parochiegeestelijke	parochiegeestelijke
parochiegeestelijken	parochiegeestelijke
parochiehuis	parochiehuiz
parochiele	parochieel
parochien	parochie
parochiepastoor	parochiepastoor
parochies	parochie
parochiescholen	parochieschool
parochieschool	parochieschool
parochietje	parochie
parochietjes	parochie
parochiezaal	parochiezaal
parodieen	parodie
parodieerde	parodieer
parodieerden	parodieer
parodieert	parodieer
parodieren	parodieer
parodierend	parodieer
parodierende	parodieer
parodies	parodie
parodontose	parodontose
parolen	parool
parool	parool
paroxisme	paroxisme
paroxismen	paroxisme
pars	pars
Parsifal	Parsifal
Parsons	Parsons
parterre	parterre
parterreplaats	parterreplaats
parterres	parterre
partes	pars
parthenogenese	parthenogenese
participatiebewijs	participatiebewijz
participatiedoeleinde	participatiedoeleinde
participatiedoeleinden	participatiedoeleinde
participatiegraad	participatiegraad
participatiemogelijkheden	participatiemogelijkheid
participatiemogelijkheid	participatiemogelijkheid
participatieonderwijs	participatieonderwijz
participatieprocessen	participatieproces
participaties	participatie
participeer	participeer
participeerde	participeer
participeerden	participeer
participeert	participeer
participeren	participeer
participerend	participeer
participerende	participeer
participia	participium
particularisme	particularisme
particularistischer	particularistisch
particularistischere	particularistisch
particularistischt	particularistisch
particularistischte	particularistisch
particulieren	particuliere
partieelst	partieel
partieelste	partieel
partiele	partieel
partieler	partieel
partielere	partieel
partijbesturen	partijbestuur
partijbestuur	partijbestuur
partijbons	partijbonz
partijbonze	partijbonze
partijbureaus	partijbureau
partijcellen	partijcel
partijcongressen	partijcongres
partijdictatuur	partijdictatuur
partijdig	partijdig
partijdige	partijdig
partijdiger	partijdig
partijdigere	partijdig
partijdigheid	partijdigheid
partijdigst	partijdig
partijdigste	partijdig
partijdiscipline	partijdiscipline
partijensysteem	partijensysteem
partijfunctionarissen	partijfunctionaris
partijgebonden	partijgebonden
partijgenoot	partijgenoot
partijgenote	partijgenote
partijgenoten	partijgenoot
partijgoederen	partijgoed
partijgrootte	partijgrootte
partij-ideologen	partij-ideoloog
partij-instanties	partij-instantie
partijkameraad	partijkameraad
partijkameraden	partijkameraad
partijkandidaat	partijkandidaat
partijkeuze	partijkeuze
partijleden	partijlid
partijleiding	partijleiding
partijleus	partijleuz
partijleuze	partijleuze
partijleuzen	partijleuze
partijloos	partijlooz
partijloze	partijlooz
partijmannen	partijman
partijnaam	partijnaam
partijorgaan	partijorgaan
partijorganen	partijorgaan
partijorganisaties	partijorganisatie
partijpers	partijpers
partijprogramma's	partijprogramma
partijraad	partijraad
partijraden	partijraad
partijschappen	partijschap
partijstructuur	partijstructuur
partijsysteem	partijsysteem
partijtegenstelling	partijtegenstelling
partijtegenstellingen	partijtegenstelling
partijtje	partij
partijtjes	partij
partijtoppen	partijtop
partijvergadering	partijvergadering
partijvergaderingen	partijvergadering
partijvriend	partijvriend
partijvrienden	partijvriend
partijwezen	partijwezen
partikeltje	partikel
partikeltjes	partikel
partitief	partitiev
partities	partitie
partituren	partituur
partituur	partituur
partituurlezen	partituurleez
partizaan	partizaan
partizanen	partizaan
partje	part
partjes	part
partnerkeuze	partnerkeuze
partnerrelaties	partnerrelatie
partnerwisseling	partnerwisseling
part-timers	part-timer
parturen	partuur
partuur	partuur
party's	party
parure	parure
paruren	parure
parures	parure
paruur	paruur
parvenuachtig	parvenuachtig
parvenuachtige	parvenuachtig
parvenuachtiger	parvenuachtig
parvenuachtigere	parvenuachtig
parvenuachtigst	parvenuachtig
parvenuachtigste	parvenuachtig
parvenu's	parvenu
parvenuutje	parvenu
parvenuutjes	parvenu
pa's	pa
Pascal	Pascal
Pascha	Pascha
pascontrole	pascontrole
Pasen	Pasen
pasfoto's	pasfoto
pasgeboren	pasgeboren
pasgeborene	pasgeborene
pasgeborenen	pasgeborene
pashokje	pashok
pashokjes	pashok
pashoogte	pashoogte
pashoogten	pashoogte
pashoogtes	pashoogte
pasja's	pasja
pasje	pas
pasjes	pas
pasklaar	pasklaar
pasklare	pasklaar
paskwillen	paskwil
paskwilletje	paskwil
paskwilletjes	paskwil
pasloden	paslood
paslood	paslood
pasmodellen	pasmodel
paspoortcontrole	paspoortcontrole
paspoorthuwelijk	paspoorthuwelijk
paspoorthuwelijken	paspoorthuwelijk
paspoppen	paspop
pasporteer	pasporteer
pasporteerde	pasporteer
pasporteerden	pasporteer
pasporteert	pasporteer
pasporteren	pasporteer
pasporterend	pasporteer
pasporterende	pasporteer
pass	pass
passaat	passaat
passabeler	passabel
passabelere	passabel
passabelst	passabel
passabelste	passabel
passage	passage
passagebureaus	passagebureau
passagekantoor	passagekantoor
passagekantoren	passagekantoor
passages	passage
passagierde	passagier
passagierden	passagier
passagiere	passagiere
passagiersboot	passagiersboot
passagiersboten	passagiersboot
passagiersruimte	passagiersruimte
passagiersschepen	passagiersschip
passagierstrappen	passagierstrap
passagiersvliegtuig	passagiersvliegtuig
passagiersvliegtuigen	passagiersvliegtuig
passagiert	passagier
passantenhuis	passantenhuiz
passaten	passaat
passe	passe
passeer	passeer
passeerde	passeer
passeerden	passeer
passeert	passeer
passelijker	passelijk
passelijkere	passelijk
passelijkst	passelijk
passelijkste	passelijk
passen	pas
passend	pas
passende	pas
passender	passend
passendere	passend
passendst	passend
passendste	passend
passe-partoutje	passe-partout
passe-partoutjes	passe-partout
passe-partouts	passe-partout
passerdoos	passerdooz
passerdozen	passerdooz
passeren	passeer
passerend	passeer
passerende	passeer
passertje	passer
passertjes	passer
passes	pass
passief	passiev
passiefst	passiev
passiefste	passiev
passiepreek	passiepreek
passiepreken	passiepreek
passies	passie
passiever	passiev
passievere	passiev
passievolle	passievol
passieweek	passieweek
passieweken	passieweek
Passiezondag	Passiezondag
Passiezondagen	Passiezondag
passing-shots	passing-shot
passioneer	passioneer
passioneerde	passioneer
passioneerden	passioneer
passioneert	passioneer
passioneren	passioneer
passionerend	passioneer
passionerende	passioneer
passiva	passiev
passivisme	passivisme
passussen	passus
past	pas
pasta's	pasta
paste	pas
pasteitje	pastei
pasteitjes	pastei
pastellen	pastel
pastelletje	pastel
pastelletjes	pastel
pasteltekening	pasteltekening
pasteltekeningen	pasteltekening
pasten	pas
pasteuriseer	pasteuriseer
pasteuriseerde	pasteuriseer
pasteuriseerden	pasteuriseer
pasteuriseert	pasteuriseer
pasteuriseren	pasteuriseer
pasteuriserend	pasteuriseer
pasteuriserende	pasteuriseer
pastiche	pastiche
pastiches	pastiche
pastille	pastille
pastilles	pastille
pastinaak	pastinaak
pastinaken	pastinaak
pastinakezaad	pastinakezaad
pastoor	pastoor
pastoors	pastoor
pastoortje	pastoor
pastoortjes	pastoor
pastoraal	pastoraal
pastoraalst	pastoraal
pastoraalste	pastoraal
pastoraat	pastoraat
pastorale	pastoraal
pastoralen	pastorale
pastoraler	pastoraal
pastoralere	pastoraal
pastorales	pastorale
pastoralia	pastoralium
pastoraten	pastoraat
pastores	pastor
pastorieen	pastorie
pastorietje	pastorie
pastorietjes	pastorie
patatje	patat
patatjes	patat
patatkraam	patatkraam
patatkramen	patatkraam
patatzaak	patatzaak
patatzaken	patatzaak
pate	pate
pateeke	pateeke
pateekes	pateeke
pateel	pateel
pateen	pateen
patelen	pateel
patenen	pateen
patentbureaus	patentbureau
patenteer	patenteer
patenteerde	patenteer
patenteerden	patenteer
patenteert	patenteer
patenter	patent
patentere	patent
patenteren	patenteer
patenterend	patenteer
patenterende	patenteer
patentmeel	patentmeel
patentplichtig	patentplichtig
patentplichtige	patentplichtig
patentsluiting	patentsluiting
patentsluitingen	patentsluiting
patentst	patent
patentste	patent
patentsteek	patentsteek
patentsteken	patentsteek
paternalisme	paternalisme
paternalistischer	paternalistisch
paternalistischere	paternalistisch
paternalistischt	paternalistisch
paternalistischte	paternalistisch
paternosterbollen	paternosterbol
paternosterde	paternoster
paternosterden	paternoster
paternosterkraal	paternosterkraal
paternosterkralen	paternosterkraal
paternostert	paternoster
patersvaatje	patersvat
patersvaatjes	patersvat
patertje	pater
patertjes	pater
paterzalf	paterzalv
pates	pate
pathefoon	pathefoon
pathefoons	pathefoon
pathetischer	pathetisch
pathetischere	pathetisch
pathetischt	pathetisch
pathetischte	pathetisch
pathogeen	pathogeen
pathogene	pathogeen
pathogenese	pathogenese
pathologen	patholoog
pathologen-anatomen	patholoog-anatoom
patholoog	patholoog
patience	patience
patiente	patiente
patienten	patiente
patientendemonstraties	patientendemonstratie
patientenknaak	patientenknaak
patientenvereniging	patientenvereniging
patientenverenigingen	patientenvereniging
patineer	patineer
patineerde	patineer
patineerden	patineer
patineert	patineer
patineren	patineer
patinerend	patineer
patinerende	patineer
patio's	patio
patiowoning	patiowoning
patiowoningen	patiowoning
patisserieen	patisserie
patisserietje	patisserie
patisserietjes	patisserie
patje	pat
patjes	pat
patriarchaal	patriarchaal
patriarchaalst	patriarchaal
patriarchaalste	patriarchaal
patriarchaat	patriarchaat
patriarchale	patriarchaal
patriarchaler	patriarchaal
patriarchalere	patriarchaal
patriarchaten	patriarchaat
Patricia	Patricia
patriciershuis	patriciershuiz
patricischer	patricisch
patricischere	patricisch
patricischt	patricisch
patricischte	patricisch
Patrick	Patrick
patrijs	patrijz
patrijshaan	patrijshaan
patrijshanen	patrijshaan
patrijshen	patrijshen
patrijshennen	patrijshen
patrijspoortje	patrijspoort
patrijzeeieren	patrijzeei
patrilineale	patrilineaal
patrimonia	patrimonium
patrimoniale	patrimoniaal
patriottischer	patriottisch
patriottischere	patriottisch
patriottischt	patriottisch
patriottischte	patriottisch
patriottisme	patriottisme
patronaat	patronaat
patronage	patronage
patronages	patronage
patronaten	patronaat
patroneer	patroneer
patroneerde	patroneer
patroneerden	patroneer
patroneert	patroneer
patronen	patroon
patroneren	patroneer
patronerend	patroneer
patronerende	patroneer
patronessen	patrones
patroniseer	patroniseer
patroniseerde	patroniseer
patroniseerden	patroniseer
patroniseert	patroniseer
patroniseren	patroniseer
patroniserend	patroniseer
patroniserende	patroniseer
patronymica	patronymicum
patroon	patroon
patroonheilige	patroonheilige
patroonheiligen	patroonheilige
patroonhuls	patroonhulz
patroons	patroon
patroontassen	patroontas
patroontje	patroon
patroontjes	patroon
patrouille	patrouille
patrouille-auto's	patrouille-auto
patrouilleer	patrouilleer
patrouilleerde	patrouilleer
patrouilleerden	patrouilleer
patrouilleert	patrouilleer
patrouilleren	patrouilleer
patrouillerend	patrouilleer
patrouillerende	patrouilleer
patrouilles	patrouille
patrouillevaartuig	patrouillevaartuig
patrouillevaartuigen	patrouillevaartuig
patrouillewagen	patrouillewagen
pats	pats
patsend	pats
patsende	pats
patserig	patserig
patserige	patserig
patseriger	patserig
patserigere	patserig
patserigheid	patserigheid
patserigst	patserig
patserigste	patserig
patst	pats
patste	pats
patstelling	patstelling
patstellingen	patstelling
patsten	pats
Pau	Pau
paukend	pauk
paukende	pauk
paukt	pauk
paukte	pauk
paukten	pauk
Paul	Paul
Paula	Paula
Paulien	Paulien
Pauline	Pauline
Paulinisch	Paulinisch
Paulinische	Paulinisch
Paulo	Paulo
Paultje	Paultje
Paulus	Paulus
paumelle	paumelle
paumelles	paumelle
pauperisme	pauperisme
pausgezinden	pausgezinde
pausgezinder	pausgezind
pausgezindere	pausgezind
pausgezindst	pausgezind
pausgezindste	pausgezind
pausjes	paus
pauskeuze	pauskeuze
pauweeieren	pauweei
pauweogen	pauweoog
pauweveer	pauweveer
pauweveren	pauweveer
pauwiger	pauwig
pauwigere	pauwig
pauwigst	pauwig
pauwigste	pauwig
pauwinnen	pauwin
pauwinnetje	pauwin
pauwinnetjes	pauwin
pauwogen	pauwoog
pauwoog	pauwoog
pauwtje	pauw
pauwtjes	pauw
pauze	pauze
pauzeer	pauzeer
pauzeerde	pauzeer
pauzeerden	pauzeer
pauzeert	pauzeer
pauzen	pauze
pauzeren	pauzeer
pauzerend	pauzeer
pauzerende	pauzeer
pauzering	pauzering
pauzeringen	pauzering
pauzes	pauze
pauzeteken	pauzeteken
pauzetje	pauze
pauzetjes	pauze
pauzetoets	pauzetoets
pavane	pavane
pavanes	pavane
paviljoenachtig	paviljoenachtig
paviljoenachtige	paviljoenachtig
paviljoentje	paviljoen
paviljoentjes	paviljoen
Pavlov	Pavlov
pavoiseer	pavoiseer
pavoiseerde	pavoiseer
pavoiseerden	pavoiseer
pavoiseert	pavoiseer
pavoiseren	pavoiseer
pavoiserend	pavoiseer
pavoiserende	pavoiseer
Pawlowna	Pawlowna
peanuts	peanuts
Pearl	Pearl
peccadille	peccadille
peccadilles	peccadille
pectine	pectine
pectoraal	pectoraal
pectorale	pectoraal
pectoralen	pectoraal
pedaal	pedaal
pedaalassen	pedaalas
pedaaltje	pedaal
pedaaltjes	pedaal
pedagoge	pedagoge
pedagogen	pedagoog
pedagogischer	pedagogisch
pedagogischere	pedagogisch
pedagogischt	pedagogisch
pedagogischte	pedagogisch
pedagoog	pedagoog
pedaleer	pedaleer
pedaleerde	pedaleer
pedaleerden	pedaleer
pedaleert	pedaleer
pedalen	pedaal
pedaleren	pedaleer
pedalerend	pedaleer
pedalerende	pedaleer
pedanter	pedant
pedantere	pedant
pedanterieen	pedanterie
pedantisme	pedantisme
pedantst	pedant
pedantste	pedant
peddelaar	peddelaar
peddelaars	peddelaar
peddelde	peddel
peddelden	peddel
peddelt	peddel
peddeltje	peddel
peddeltjes	peddel
pedellen	pedel
pedestallen	pedestal
pedestalletje	pedestal
pedestalletjes	pedestal
pedicure	pedicure
pedicuren	pedicuur
pedicurend	pedicuur
pedicurende	pedicuur
pedicures	pedicure
pedicuur	pedicuur
pedicuurde	pedicuur
pedicuurden	pedicuur
pedicuurt	pedicuur
pedigrees	pedigree
pedocentrisme	pedocentrisme
pedologen	pedoloog
pedoloog	pedoloog
Pedro	Pedro
peeen	pee
peel	peel
peelde	peel
peelden	peel
peelt	peel
peen	peen
peenhaar	peenhaar
peentje	peen
peentjes	peen
peep	pijp
peer	peer
peers	peer
peertje	peer
peertjes	peer
peervormig	peervormig
peervormige	peervormig
peervormiger	peervormig
peervormigere	peervormig
peervormigst	peervormig
peervormigste	peervormig
pees	pee
peesachtig	peesachtig
peesachtige	peesachtig
peesachtiger	peesachtig
peesachtigere	peesachtig
peesachtigst	peesachtig
peesachtigste	peesachtig
peesde	peez
peesden	peez
peeskamertje	peeskamer
peeskamertjes	peeskamer
peesschede	peesschede
peesscheden	peesschede
peest	peez
peet	peet
Peeters	Peeters
peetje	pee
peetjes	pee
peetoom	peetoom
peetooms	peetoom
peettante	peettante
peettantes	peettante
peetzonen	peetzoon
peetzoon	peetzoon
peetzoons	peetzoon
Pegasus	Pegasus
pegelde	pegel
pegelden	pegel
pegelt	pegel
pegeltje	pegel
pegeltjes	pegel
peggen	peg
peigerde	peiger
peigerden	peiger
peigert	peiger
peigne	peigne
peignoirtje	peignoir
peignoirtjes	peignoir
peilantenne	peilantenne
peilantennes	peilantenne
peilbaar	peilbaar
peilbare	peilbaar
peildata	peildatum
peilde	peil
peilden	peil
peilend	peil
peilende	peil
peilglas	peilglaz
peilketting	peilketting
peilkettingen	peilketting
peilloden	peillood
peillood	peillood
peilloos	peillooz
peilloze	peillooz
peilraam	peilraam
peilramen	peilraam
peilschaal	peilschaal
peilschalen	peilschaal
peilsignaal	peilsignaal
peilsignalen	peilsignaal
peilt	peil
peilteken	peilteken
peins	peinz
peinsde	peinz
peinsden	peinz
peinst	peinz
peinzend	peinz
peinzende	peinz
pejoratief	pejoratiev
pejoratiefst	pejoratiev
pejoratiefste	pejoratiev
pejoratiever	pejoratiev
pejoratievere	pejoratiev
pekblende	pekblende
pekdraad	pekdraad
pekdraden	pekdraad
pekelde	pekel
pekelden	pekel
pekelharing	pekelharing
pekelharingen	pekelharing
pekelschade	pekelschade
pekelt	pekel
pekelvlees	pekelvleez
pekelwagen	pekelwagen
pekelzonde	pekelzonde
pekelzonden	pekelzonde
pekinees	pekineez
pekineesje	pekineez
pekinezen	pekineez
Peking	Peking
pekingeend	pekingeend
pekingeenden	pekingeend
pekkend	pek
pekkende	pek
pekkiger	pekkig
pekkigere	pekkig
pekkigst	pekkig
pekkigste	pekkig
pekoven	pekoven
pekt	pek
pekte	pek
pekten	pek
pektonnen	pekton
pektoorts	pektoorts
pekzalf	pekzalv
Pelagiaans	Pelagiaans
Pelagiaanse	Pelagiaans
pelagianen	pelagiaan
Pelagius	Pelagius
pelde	pel
pelden	pel
Pele	Pele
pelen	peel
pelend	peel
pelende	peel
pelerientje	pelerine
pelerientjes	pelerine
pelerine	pelerine
pelerines	pelerine
pelgrimage	pelgrimage
pelgrimages	pelgrimage
pelgrimeer	pelgrimeer
pelgrimeerde	pelgrimeer
pelgrimeerden	pelgrimeer
pelgrimeert	pelgrimeer
pelgrimeren	pelgrimeer
pelgrimerend	pelgrimeer
pelgrimerende	pelgrimeer
pelgrimpje	pelgrim
pelgrimpjes	pelgrim
pelgrimshaven	pelgrimshaven
pelgrimskleed	pelgrimskleed
pelgrimskleren	pelgrimskleed
pelgrimsreis	pelgrimsreiz
pelgrimsroute	pelgrimsroute
pelgrimsstaf	pelgrimsstav
pelhoenderen	pelhoen
pelhoenders	pelhoen
pelikaan	pelikaan
pelikaanachtig	pelikaanachtig
pelikaanachtige	pelikaanachtig
pelikaanachtigen	pelikaanachtige
pelikaanskroppen	pelikaanskrop
pelikaantje	pelikaan
pelikaantjes	pelikaan
pelikanen	pelikaan
pellagreus	pellagreuz
Pelle	Pelle
pellen	pel
pellend	pel
pellende	pel
pelleterieen	pelleterie
pelletiseer	pelletiseer
pelletiseerde	pelletiseer
pelletiseerden	pelletiseer
pelletiseert	pelletiseer
pelletiseren	pelletiseer
pelletiserend	pelletiseer
pelletiserende	pelletiseer
pelletje	pel
pelletjes	pel
pelmeel	pelmeel
pelmolen	pelmolen
pelorieen	pelorie
pelotonsgewijs	pelotonsgewijz
pelotonsvuur	pelotonsvuur
pelotonvuur	pelotonvuur
pelotte	pelotte
pelotteballen	pelottebal
pels	pelz
pelsjassen	pelsjas
pelsje	pelz
pelsjes	pelz
pelskraag	pelskraag
pelskragen	pelskraag
pelsmuts	pelsmuts
pelsrobben	pelsrob
pelt	pel
pelure	pelure
pelures	pelure
peluwsloop	peluwsloop
peluwslopen	peluwsloop
pelzen	pelzen
pelziger	pelzig
pelzigere	pelzig
pelzigst	pelzig
pelzigste	pelzig
pelzijde	pelzijde
penaal	penaal
penale	penaal
penalty's	penalty
penaltystippen	penaltystip
penantkastje	penantkast
penantkastjes	penantkast
penaten	penaat
pence	penny
Penclub	Penclub
pende	pen
pendelaar	pendelaar
pendelaars	pendelaar
pendelbussen	pendelbus
pendelde	pendel
pendelden	pendel
pendeloplegging	pendeloplegging
pendeloquen	pendeloque
pendeloques	pendeloque
pendelt	pendel
pendelverkeer	pendelverkeer
pendelzaag	pendelzaag
pendelzagen	pendelzaag
penden	pen
pendentief	pendentiev
pendentiefs	pendentiev
pendule	pendule
pendules	pendule
penduletje	pendule
penduletjes	pendule
pene	pene
penen	peen
pen-en-gatverbindingen	pen-en-gatverbinding
penetranter	penetrant
penetrantere	penetrant
penetrantst	penetrant
penetrantste	penetrant
penetratiegraad	penetratiegraad
penetraties	penetratie
penetreer	penetreer
penetreerde	penetreer
penetreerden	penetreer
penetreert	penetreer
penetreren	penetreer
penetrerend	penetreer
penetrerende	penetreer
pengo's	pengo
penhoudergreep	penhoudergreep
penhoudergrepen	penhoudergreep
penibeler	penibel
penibelere	penibel
penibelst	penibel
penibelste	penibel
penicilline	penicilline
penicillines	penicilline
penisje	penis
penisvormig	penisvormig
penitentiarissen	penitentiaris
penitentien	penitentie
penitenties	penitentie
pennemessen	pennemes
pennen	pen
pennenbakje	pennenbak
pennenbakjes	pennenbak
pennend	pen
pennende	pen
pennendoos	pennendooz
pennendozen	pennendooz
pennestreek	pennestreek
pennestreken	pennestreek
pennetje	pen
pennetjes	pen
penningkunde	penningkunde
penningkundig	penningkundig
penningkundige	penningkundig
penningmeesteresse	penningmeesteresse
penningmeesteressen	penningmeesteresse
penningplaat	penningplaat
penningplaten	penningplaat
penningske	penning
penningskes	penning
penningsteen	penningsteen
penningstenen	penningsteen
penninkje	penning
penninkjes	penning
pennoentje	pennoen
pennoentjes	pennoen
Pennsylvania	Pennsylvania
penny's	penny
penopauze	penopauze
penopauzen	penopauze
penopauzes	penopauze
penose	penose
penoze	penoze
penozekring	penozekring
penozekringen	penozekring
pens	pens
penseel	penseel
penseelbehandeling	penseelbehandeling
penseelde	penseel
penseelden	penseel
penseelstreek	penseelstreek
penseelstreken	penseelstreek
penseelt	penseel
penseeltekening	penseeltekening
penseeltekeningen	penseeltekening
penseeltje	penseel
penseeltjes	penseel
penseelvoering	penseelvoering
penseelvormig	penseelvormig
penseelvormige	penseelvormig
pensees	pensee
penseetje	pensee
penseetjes	pensee
penselen	penseel
penselend	penseel
penselende	penseel
pensief	pensiev
pensiefst	pensiev
pensiefste	pensiev
pensiever	pensiev
pensievere	pensiev
pensioenaanspraak	pensioenaanspraak
pensioenaanspraken	pensioenaanspraak
pensioenaanvraag	pensioenaanvraag
pensioenaanvrage	pensioenaanvrage
pensioenaanvragen	pensioenaanvraag
pensioenbijdrage	pensioenbijdrage
pensioenbijdragen	pensioenbijdrage
pensioenfonds	pensioenfonds
pensioenjaar	pensioenjaar
pensioenjaren	pensioenjaar
pensioenkassen	pensioenkas
pensioenkorting	pensioenkorting
pensioenkortingen	pensioenkorting
pensioenpremies	pensioenpremie
pensioenraad	pensioenraad
pensioenraden	pensioenraad
pensioenregeling	pensioenregeling
pensioenregelingen	pensioenregeling
pensioenreserve	pensioenreserve
pensioenreserves	pensioenreserve
pensioensaanspraak	pensioensaanspraak
pensioensaanspraken	pensioensaanspraak
pensioensaanvraag	pensioensaanvraag
pensioensaanvrage	pensioensaanvrage
pensioensaanvragen	pensioensaanvraag
pensioensbijdrage	pensioensbijdrage
pensioensbijdragen	pensioensbijdrage
pensioenskorting	pensioenskorting
pensioenskortingen	pensioenskorting
pensioensregeling	pensioensregeling
pensioensregelingen	pensioensregeling
pensioensverzekering	pensioensverzekering
pensioensverzekeringen	pensioensverzekering
pensioentje	pensioen
pensioentjes	pensioen
pensioentrekkend	pensioentrekkend
pensioentrekkende	pensioentrekkend
pensioenverhaal	pensioenverhaal
pensioenverhalen	pensioenverhaal
pensioenverzekering	pensioenverzekering
pensioenverzekeringen	pensioenverzekering
pensioenvoorziening	pensioenvoorziening
pensioenvoorzieningen	pensioenvoorziening
pensionaat	pensionaat
pensionaire	pensionaire
pensionaires	pensionaire
pensionairetje	pensionaire
pensionairetjes	pensionaire
pensionairtje	pensionair
pensionairtjes	pensionair
pensionarissen	pensionaris
pensionaten	pensionaat
pensioneer	pensioneer
pensioneerde	pensioneer
pensioneerden	pensioneer
pensioneert	pensioneer
pensioneren	pensioneer
pensionerend	pensioneer
pensionerende	pensioneer
pensionering	pensionering
pensioneringen	pensionering
pensionnetje	pension
pensionnetjes	pension
pensionprijs	pensionprijz
pensiontehuis	pensiontehuiz
penssteek	penssteek
penssteken	penssteek
pent	pen
pentaan	pentaan
pentafonen	pentafoon
pentafoon	pentafoon
pentafoons	pentafoon
Pentagon	Pentagon
pentagonaal	pentagonaal
pentagonale	pentagonaal
pentagonen	pentagoon
pentagoon	pentagoon
pentagrammen	pentagram
pentarchieen	pentarchie
Pentateuch	Pentateuch
pentekening	pentekening
pentekeningen	pentekening
penterde	penter
penterden	penter
penterhaak	penterhaak
penterhaken	penterhaak
pentert	penter
pentertalies	pentertalie
penthode	penthode
penthoden	penthode
penthodes	penthode
penultima's	penultima
Pepe	Pepe
pepen	pijp
peperachtigen	peperachtige
peperbessen	peperbes
peperbollen	peperbol
peperbomen	peperboom
peperboom	peperboom
peperboompje	peperboom
peperboompjes	peperboom
peperbussen	peperbus
peperde	peper
peperden	peper
peperdroge	peperdroog
peperdroog	peperdroog
peperdure	peperduur
peperduur	peperduur
peper-en-zoutstellen	peper-en-zoutstel
peperhuisje	peperhuiz
peperhuisjes	peperhuiz
peperig	peperig
peperige	peperig
peperiger	peperig
peperigere	peperig
peperigst	peperig
peperigste	peperig
peperine	peperine
pepermolen	pepermolen
pepermuntachtig	pepermuntachtig
pepermuntachtige	pepermuntachtig
pepermuntsmaak	pepermuntsmaak
pepermuntstroop	pepermuntstroop
pepernoot	pepernoot
pepernoten	pepernoot
pepert	peper
pepertje	peper
pepertjes	peper
pepervaatje	pepervat
pepervaatjes	pepervat
pepervuur	pepervuur
pepiniere	pepiniere
pepinieres	pepiniere
pepite	pepite
pepites	pepite
peppelen	peppelen
peppeltje	peppel
peppeltjes	peppel
peppillen	peppil
pepsase	pepsase
pepsine	pepsine
perceel	perceel
perceelsgewijs	perceelsgewijz
perceelsgewijze	perceelsgewijze
perceeltje	perceel
perceeltjes	perceel
percelen	perceel
percentage	percentage
percentages	percentage
percentielscore	percentielscore
percentielscores	percentielscore
percentsgewijs	percentsgewijz
percentsgewijze	percentsgewijze
percentteken	percentteken
perceptibeler	perceptibel
perceptibelere	perceptibel
perceptibelst	perceptibel
perceptibelste	perceptibel
perceptiedoofheid	perceptiedoofheid
perceptien	perceptie
percepties	perceptie
perceptievermogen	perceptievermogen
percipieerde	percipieer
percipieerden	percipieer
percipieert	percipieer
percipieren	percipieer
percipierend	percipieer
percipierende	percipieer
percoleer	percoleer
percoleerde	percoleer
percoleerden	percoleer
percoleert	percoleer
percoleren	percoleer
percolerend	percoleer
percolerende	percoleer
percussiedopje	percussiedop
percussiedopjes	percussiedop
percussiehamertje	percussiehamer
percussiehamertjes	percussiehamer
percussies	percussie
percutaan	percutaan
percuteer	percuteer
percuteerde	percuteer
percuteerden	percuteer
percuteert	percuteer
percuteren	percuteer
percuterend	percuteer
percuterende	percuteer
Percy	Percy
pere	pere
perebomen	pereboom
pereboom	pereboom
peregrinaties	peregrinatie
Peregrinus	Peregrinus
perehouten	perehouten
perekwaties	perekwatie
perelaar	perelaar
perelaars	perelaar
peren	peer
perenjaar	perenjaar
perenmoes	perenmoez
perennerend	perennerend
perennerende	perennerend
perenstroop	perenstroop
pereschillen	pereschil
perevuur	perevuur
Perez	Perez
perfecta	perfectum
perfecter	perfect
perfectere	perfect
perfectibilisme	perfectibilisme
perfectief	perfectiev
perfecties	perfectie
perfectioneer	perfectioneer
perfectioneerde	perfectioneer
perfectioneerden	perfectioneer
perfectioneert	perfectioneer
perfectioneren	perfectioneer
perfectionerend	perfectioneer
perfectionerende	perfectioneer
perfectionering	perfectionering
perfectionisme	perfectionisme
perfectst	perfect
perfectste	perfect
perfide	perfide
perfider	perfide
perfidere	perfide
perfiedst	perfide
perfiedste	perfide
perforaties	perforatie
perforeer	perforeer
perforeerapparaat	perforeerapparaat
perforeerapparaten	perforeerapparaat
perforeerde	perforeer
perforeerden	perforeer
